TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:original_source = data/preparation/corpus/de/retokenized/sophokle1v3soph_0066.xmi
# hipe2022:license = CC-BY
# hipe2022:language = de
# hipe2022:document_type = commentary
# hipe2022:document_id = sophokle1v3soph_0066
# hipe2022:date = 1853-01-01
# hipe2022:dataset = ajmc
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
# ajmc:version = v0.3
# ajmc:title = Sophokles, erklärt
# ajmc:publication_place = Leipzig
# ajmc:publication_date = 1853
# ajmc:page = 66
# ajmc:author = Schneidewin, Friedrich Wilhelm
Aias	B-pers	O	B-pers.myth	O	O	O	Q172725	O	LED0.00
die	O	O	O	O	O	O	O	O	O
Zunge	O	O	O	O	O	O	O	O	O
aus	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
weil	O	O	O	O	O	O	O	O	O
er	O	O	O	O	O	O	O	O	O
den	O	O	O	O	O	O	O	O	O
Richterspruch	O	O	O	O	O	O	O	O	O
verkündigt	O	O	O	O	O	O	O	O	O
hatte	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	EndOfSentence

Glaubte	O	O	O	O	O	O	O	O	O
Aias	B-pers	O	B-pers.myth	O	O	O	Q172725	O	LED0.00
schon	O	O	O	O	O	O	O	O	O
55	B-scope	O	B-scope	O	O	O	O	O	InPrimaryReference|LED0.00
f	I-scope	O	I-scope	O	O	O	O	O	InPrimaryReference|NoSpaceAfter|LED0.00
.	I-scope	O	I-scope	O	O	O	O	O	InPrimaryReference|LED0.00
die	O	O	O	O	O	O	O	O	O
Atriden	O	O	O	O	O	O	O	O	NoSpaceAfter
getödtet	O	O	O	O	O	O	O	O	O
zu	O	O	O	O	O	O	O	O	O
haben	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
so	O	O	O	O	O	O	O	O	O
begann	O	O	O	O	O	O	O	O	O
er	O	O	O	O	O	O	O	O	O
im	O	O	O	O	O	O	O	O	O
Zelte	O	O	O	O	O	O	O	O	O
seine	O	O	O	O	O	O	O	O	O
Quälerei	O	O	O	O	O	O	O	O	O
von	O	O	O	O	O	O	O	O	O
Neuem	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
da	O	O	O	O	O	O	O	O	O
Athene	B-pers	O	B-pers.myth	O	O	O	Q37122	O	LED0.00
ihn	O	O	O	O	O	O	O	O	O
εἰςέβαλεν	O	O	O	O	O	O	O	O	O
εἰς	O	O	O	O	O	O	O	O	O
ἕρχη	O	O	O	O	O	O	O	O	O
καχά	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
indem	O	O	O	O	O	O	O	O	O
sie	O	O	O	O	O	O	O	O	O
