TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
Leiche	O	O	O	O	O	O	_	_	_
des	O	O	O	O	O	O	_	_	_
Achilleus	S-pers	O	B-pers.myth	O	O	O	_	_	_
ſich	O	O	O	O	O	O	_	_	_
unterhalten	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
ſchließlich	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
That	O	O	O	O	O	O	_	_	_
des	O	O	O	O	O	O	_	_	_
Odyſſeus	S-pers	O	B-pers.myth	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Vorzug	O	O	O	O	O	O	_	_	_
geben	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_

Darnach	O	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	_
entſchieden	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_

Im	O	O	O	O	O	O	_	_	_
Unwillen	O	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	_
Aias	S-pers	O	B-pers.myth	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
Wahnſinn	O	O	O	O	O	O	_	_	_
befallen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
will	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Wut	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Atriden	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Odyſſeus	O	O	B-pers.myth	O	O	O	_	_	_
ermorden	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
fällt	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
über	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Herden	O	O	O	O	O	O	_	_	_
des	O	O	O	O	O	O	_	_	_
Heeres	O	O	O	O	O	O	_	_	_
her	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
<SEP>	O	O	O	O	O	O	_	_	_
Amynander	S-pers	O	B-pers.myth	O	O	O	_	_	_
(Greek	O	O	O	O	O	O	_	_	_
:	O	O	O	O	O	O	_	_	_
Ἀμύνανδρος	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
Amynandros	S-loc	O	B-loc	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
Polybios	S-pers	O	B-pers.author	O	O	O	_	_	_
also	O	O	O	O	O	O	_	_	_
Amynas	S-pers	O	B-pers.myth	O	O	O	_	_	_
)	O	O	O	O	O	O	_	_	_
was	O	O	O	O	O	O	_	_	_
king	O	O	O	O	O	O	_	_	_
of	O	O	O	O	O	O	_	_	_
the	O	O	O	O	O	O	_	_	_
Athamanes	S-pers	O	B-pers.author	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
south	O	O	O	O	O	O	_	_	_
Epirus	S-loc	O	B-loc	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
following	O	O	O	O	O	O	_	_	_
his	O	O	O	O	O	O	_	_	_
predecessor	O	O	O	O	O	O	_	_	_
Theodorus	S-pers	O	B-pers.myth	O	O	O	_	_	_
of	O	O	O	O	O	O	_	_	_
Athamania	S-loc	O	B-loc	O	O	O	_	_	_
<SEP>	O	O	O	O	O	O	_	_	_
Atropos	S-pers	O	B-pers.myth	O	O	O	_	_	_
or	O	O	O	O	O	O	_	_	_
Aisa	S-pers	O	B-pers.myth	O	O	O	_	_	_
(	O	O	O	O	O	O	_	_	_
;	O	O	O	O	O	O	_	_	_
Ancient	O	O	O	O	O	O	_	_	_
Greek	O	O	O	O	O	O	_	_	_
:	O	O	O	O	O	O	_	_	_
Ἄτροπος	O	O	O	O	O	O	_	_	_
"without	O	O	O	O	O	O	_	_	_
turn	O	O	O	O	O	O	_	_	_
"	O	O	O	O	O	O	_	_	_
)	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
Greek	S-pers	O	B-loc	O	O	O	_	_	_
mythology	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
was	O	O	O	O	O	O	_	_	_
one	O	O	O	O	O	O	_	_	_
of	O	O	O	O	O	O	_	_	_
the	O	O	O	O	O	O	_	_	_
three	O	O	O	O	O	O	_	_	_
Moirai	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
goddesses	O	O	O	O	O	O	_	_	_
of	O	O	O	O	O	O	_	_	_
fate	O	O	O	O	O	O	_	_	_
and	O	O	O	O	O	O	_	_	_
destiny	O	O	O	O	O	O	_	_	_
<SEP>	O	O	O	O	O	O	_	_	_
Rhesus	S-pers	O	B-pers.myth	O	O	O	_	_	_
(Greek	O	O	O	O	O	O	_	_	_
:	O	O	O	O	O	O	_	_	_
Ῥῆσος	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
Rhêsos	S-pers	O	B-pers.myth	O	O	O	_	_	_
)	O	O	O	O	O	O	_	_	_
is	O	O	O	O	O	O	_	_	_
a	O	O	O	O	O	O	_	_	_
fictional	O	O	O	O	O	O	_	_	_
Thracian	S-pers	O	B-pers.author	O	O	O	_	_	_
king	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
Iliad	S-work	O	I-work.primlit	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
Book	B-scope	O	B-scope	O	O	O	_	_	_
X	E-scope	O	I-scope	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
who	O	O	O	O	O	O	_	_	_
fought	O	O	O	O	O	O	_	_	_
on	O	O	O	O	O	O	_	_	_
the	O	O	O	O	O	O	_	_	_
side	O	O	O	O	O	O	_	_	_
of	O	O	O	O	O	O	_	_	_
Trojans	O	O	O	O	O	O	_	_	_
<SEP>	O	O	O	O	O	O	_	_	_
In	O	O	O	O	O	O	_	_	_
Greek	S-pers	O	B-loc	O	O	O	_	_	_
mythology	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
Iamenus	S-pers	O	B-pers.myth	O	O	O	_	_	_
(Ancient	O	O	O	O	O	O	_	_	_
Greek	O	O	O	O	O	O	_	_	_
:	O	O	O	O	O	O	_	_	_
Ἰαμενὸν	S-pers	O	I-scope	O	O	O	_	_	_
)	O	O	O	O	O	O	_	_	_
was	O	O	O	O	O	O	_	_	_
a	O	O	O	O	O	O	_	_	_
Trojan	O	O	O	O	O	O	_	_	_
hero	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
the	O	O	O	O	O	O	_	_	_
Iliad	S-work	O	I-work.primlit	O	O	O	_	_	_
<SEP>	O	O	O	O	O	O	_	_	_
Attalus	S-pers	O	B-pers.myth	O	O	O	_	_	_
(Greek	S-pers	O	B-pers.other	O	O	O	_	_	_
:	O	O	O	O	O	O	_	_	_
Ἄτταλος	O	O	B-scope	O	O	O	_	_	_
;	O	O	O	O	O	O	_	_	_
fl	O	O	O	O	O	O	_	_	_
<SEP>	O	O	O	O	O	O	_	_	_
In	O	O	O	O	O	O	_	_	_
Book	B-scope	O	B-pers.author	O	O	O	_	_	_
V	E-scope	O	B-scope	O	O	O	_	_	_
of	O	O	O	O	O	O	_	_	_
Ovid	S-pers	O	B-pers.author	O	O	O	_	_	_
's	O	O	O	O	O	O	_	_	_
mock	O	O	O	O	O	O	_	_	_
-epic	O	O	O	O	O	O	_	_	_
Metamorphoses	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
Athis	S-loc	O	B-loc	O	O	O	_	_	_
is	O	O	O	O	O	O	_	_	_
a	O	O	O	O	O	O	_	_	_
young	O	O	O	O	O	O	_	_	_
demigod	O	O	O	O	O	O	_	_	_
from	O	O	O	O	O	O	_	_	_
India	S-loc	O	B-loc	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
son	O	O	O	O	O	O	_	_	_
of	O	O	O	O	O	O	_	_	_
Limnaee	S-pers	O	B-pers.myth	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
a	O	O	O	O	O	O	_	_	_
