TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:original_source = data/preparation/corpus/en/retokenized/cu31924087948174_0014.xmi
# hipe2022:license = CC-BY
# hipe2022:language = en
# hipe2022:document_type = commentary
# hipe2022:document_id = cu31924087948174_0014
# hipe2022:date = 1881-01-01
# hipe2022:dataset = ajmc
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
# ajmc:version = v0.3
# ajmc:title = Sophocles
# ajmc:publication_place = Oxford
# ajmc:publication_date = 1881
# ajmc:page = 14
# ajmc:author = Campbell, Lewis
in	O	O	O	O	O	O	O	O	O
editing	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O
Fragments	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
I	O	O	O	O	O	O	O	O	O
have	O	O	O	O	O	O	O	O	O
availed	O	O	O	O	O	O	O	O	O
myself	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O
Mr	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	O
R	B-pers	O	B-pers.author	O	O	O	Q7344037	O	NoSpaceAfter|LED0.00
.	I-pers	O	I-pers.author	O	O	O	Q7344037	O	LED0.00
Ellis	I-pers	O	I-pers.author	O	O	O	Q7344037	O	NoSpaceAfter|LED0.00
’	O	O	O	O	O	O	O	O	O
acute	O	O	O	O	O	O	O	O	O
remarks	O	O	O	O	O	O	O	O	O
on	O	O	O	O	O	O	O	O	O
them	O	O	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O	O	O
the	B-work	O	B-work.journal	O	O	O	O	O	InSecondaryReference|LED0.00
Cambridge	I-work	O	I-work.journal	O	O	O	O	O	InSecondaryReference|LED0.00
Journal	I-work	O	I-work.journal	O	O	O	O	O	InSecondaryReference|LED0.00
of	I-work	O	I-work.journal	O	O	O	O	O	InSecondaryReference|LED0.00
Philology	I-work	O	I-work.journal	O	O	O	O	O	InSecondaryReference|NoSpaceAfter|LED0.00
,	O	O	O	O	O	O	O	O	InSecondaryReference
Vol	B-scope	O	B-scope	O	O	O	O	O	InSecondaryReference|NoSpaceAfter|LED0.00
.	I-scope	O	I-scope	O	O	O	O	O	InSecondaryReference|LED0.00
IV	I-scope	O	I-scope	O	O	O	O	O	InSecondaryReference|NoSpaceAfter|LED0.00
,	O	O	O	O	O	O	O	O	O
and	O	O	O	O	O	O	O	O	O
that	O	O	O	O	O	O	O	O	O
I	O	O	O	O	O	O	O	O	O
am	O	O	O	O	O	O	O	O	O
largely	O	O	O	O	O	O	O	O	O
indebted	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
as	O	O	O	O	O	O	O	O	O
every	O	O	O	O	O	O	O	O	O
editor	O	O	O	O	O	O	O	O	O
must	O	O	O	O	O	O	O	O	O
now	O	O	O	O	O	O	O	O	O
be	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
to	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O
edition	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O
Tragic	O	O	O	O	O	O	O	O	O
Fragments	O	O	O	O	O	O	O	O	O
by	O	O	O	O	O	O	O	O	O
A	B-pers	O	B-pers.editor	O	O	O	O	O	InSecondaryReference|NoSpaceAfter|LED0.00
.	I-pers	O	I-pers.editor	O	O	O	O	O	InSecondaryReference|LED0.00
Nauck	I-pers	O	I-pers.editor	O	O	O	O	O	InSecondaryReference|NoSpaceAfter|LED0.00
,	O	O	O	O	O	O	O	O	InSecondaryReference
Leipzig	B-loc	O	B-loc	O	O	O	O	O	InSecondaryReference|NoSpaceAfter|LED0.00
,	O	O	O	O	O	O	O	O	InSecondaryReference
1856	B-date	O	B-date	O	O	O	O	O	InSecondaryReference|NoSpaceAfter|LED0.00
.	O	O	O	O	O	O	O	O	EndOfSentence

I	O	O	O	O	O	O	O	O	O
had	O	O	O	O	O	O	O	O	O
once	O	O	O	O	O	O	O	O	O
hoped	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
as	O	O	O	O	O	O	O	O	O
indicated	O	O	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O	O	O
a	O	O	O	O	O	O	O	O	O
former	O	O	O	O	O	O	O	O	O
writing	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
to	O	O	O	O	O	O	O	O	O
give	O	O	O	O	O	O	O	O	O
here	O	O	O	O	O	O	O	O	O
some	O	O	O	O	O	O	O	O	O
general	O	O	O	O	O	O	O	O	O
account	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O
previous	O	O	O	O	O	O	O	O	O
editions	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O
Sophocles	B-pers	O	B-pers.author	O	O	O	Q7235	O	NoSpaceAfter|LED0.00
.	O	O	O	O	O	O	O	O	EndOfSentence

Further	O	O	O	O	O	O	O	O	O
