TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:original_source = data/preparation/corpus/fr/retokenized/lestragdiesdeso00tourgoog_0060.xmi
# hipe2022:license = CC-BY
# hipe2022:language = fr
# hipe2022:document_type = commentary
# hipe2022:document_id = lestragdiesdeso00tourgoog_0060
# hipe2022:dataset = ajmc
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
# ajmc:version = v0.3
dont	O	O	O	O	O	O	O	O	O
parle	O	O	O	O	O	O	O	O	O
Sophocle	B-pers	O	B-pers.author	O	O	O	Q7235	O	LED0.00
n	O	O	O	O	O	O	O	O	NoSpaceAfter
’	O	O	O	O	O	O	O	O	NoSpaceAfter
ont	O	O	O	O	O	O	O	O	O
pas	O	O	O	O	O	O	O	O	O
troullé	O	O	O	O	O	O	O	O	O
la	O	O	O	O	O	O	O	O	O
Taison	O	O	O	O	O	O	O	O	O
d	O	O	O	O	O	O	O	O	NoSpaceAfter
'	O	O	O	O	O	O	O	O	NoSpaceAfter
Ajax	B-pers	O	B-pers.myth	O	O	O	Q172725	O	LED0.00
;	O	O	O	O	O	O	O	O	O
clles	O	O	O	O	O	O	O	O	O
ont	O	O	O	O	O	O	O	O	O
seulement	O	O	O	O	O	O	O	O	O
abusé	O	O	O	O	O	O	O	O	O
ses	O	O	O	O	O	O	O	O	O
yeux	O	O	O	O	O	O	O	O	NoSpaceAfter
;	O	O	O	O	O	O	O	O	O
ce	O	O	O	O	O	O	O	O	O
n	O	O	O	O	O	O	O	O	NoSpaceAfter
'	O	O	O	O	O	O	O	O	NoSpaceAfter
est	O	O	O	O	O	O	O	O	O
pas	O	O	O	O	O	O	O	O	O
lui	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
à	O	O	O	O	O	O	O	O	O
proprement	O	O	O	O	O	O	O	O	O
parler	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	O
c	O	O	O	O	O	O	O	O	NoSpaceAfter
’	O	O	O	O	O	O	O	O	NoSpaceAfter
est	O	O	O	O	O	O	O	O	O
sa	O	O	O	O	O	O	O	O	O
vue	O	O	O	O	O	O	O	O	O
qui	O	O	O	O	O	O	O	O	O
a	O	O	O	O	O	O	O	O	O
mal	O	O	O	O	O	O	O	O	O
jugé	O	O	O	O	O	O	O	O	O
:	O	O	O	O	O	O	O	O	O
èn	O	O	O	O	O	O	O	O	O
ppuass	O	O	O	O	O	O	O	O	O
détermine	O	O	O	O	O	O	O	O	O
en	O	O	O	O	O	O	O	O	O
ce	O	O	O	O	O	O	O	O	O
sens	O	O	O	O	O	O	O	O	O
la	O	O	O	O	O	O	O	O	O
pensée	O	O	O	O	O	O	O	O	O
du	O	O	O	O	O	O	O	O	O
