TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
1449	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
τῆσ	O	O	O	O	O	O	_	_	_
φιλτάτησ	O	O	O	O	O	O	_	_	_
OT	O	O	O	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
and	O	O	O	O	O	O	_	_	_
corrected	O	O	O	O	O	O	_	_	_
by	O	O	O	O	O	O	_	_	_
pr	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
m	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
L	O	O	B-work.primlit	O	O	O	_	_	_
,	O	O	O	O	O	O	_	_	_
Edd	B-work	O	B-work.primlit	O	O	O	_	_	_
.	E-work	O	I-work.primlit	O	O	O	_	_	_
“	O	O	O	O	O	O	_	_	_
τε	O	O	O	O	O	O	_	_	_
φιλτάτων	O	O	O	O	O	O	_	_	_
LA	O	O	O	O	O	O	_	_	_
”	O	O	O	O	O	O	_	_	_
Jahnl	O	O	B-pers.editor	O	O	O	_	_	_

1454	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
ἂρ	O	O	O	O	O	O	_	_	_
’	O	O	O	O	O	O	_	_	_
O	B-work	O	B-work.primlit	O	O	O	_	_	_
Pal	I-work	O	B-work.primlit	O	O	O	_	_	_
.	E-work	O	I-work.primlit	O	O	O	_	_	_
ἄρ᾽	O	O	O	O	O	O	_	_	_
Edd	B-work	O	B-work.primlit	O	O	O	_	_	_
.	E-work	O	I-work.primlit	O	O	O	_	_	_
ἄρ᾽	O	O	O	O	O	O	_	_	_
A	O	O	I-scope	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_

1456	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	_
εἰωθότωσ	O	O	O	O	O	O	_	_	_
OL	B-work	O	B-work.primlit	O	O	O	_	_	_
